EMPLOYEE_ID,FIRST_NAME,LAST_NAME,DEPARTMENT_NAME
200,Jennifer,Whalen,Administration
201,Michael,Hartstein,Marketing
202,Pat,Fay,Marketing
114,Den,Raphaely,Purchasing
115,Alexander,Khoo,Purchasing
116,Shelli,Baida,Purchasing
117,Sigal,Tobias,Purchasing
118,Guy,Himuro,Purchasing
119,Karen,Colmenares,Purchasing
203,Susan,Mavris,Human Resources
120,Matthew,Weiss,Shipping
121,Adam,Fripp,Shipping
122,Payam,Kaufling,Shipping
123,Shanta,Vollman,Shipping
124,Kevin,Mourgos,Shipping
125,Julia,Nayer,Shipping
126,Irene,Mikkilineni,Shipping
127,James,Landry,Shipping
128,Steven,Markle,Shipping
129,Laura,Bissot,Shipping
130,Mozhe,Atkinson,Shipping
131,James,Marlow,Shipping
132,TJ,Olson,Shipping
133,Jason,Mallin,Shipping
134,Michael,Rogers,Shipping
135,Ki,Gee,Shipping
136,Hazel,Philtanker,Shipping
137,Renske,Ladwig,Shipping
138,Stephen,Stiles,Shipping
139,John,Seo,Shipping
140,Joshua,Patel,Shipping
141,Trenna,Rajs,Shipping
142,Curtis,Davies,Shipping
143,Randall,Matos,Shipping
144,Peter,Vargas,Shipping
180,Winston,Taylor,Shipping
181,Jean,Fleaur,Shipping
182,Martha,Sullivan,Shipping
183,Girard,Geoni,Shipping
184,Nandita,Sarchand,Shipping
185,Alexis,Bull,Shipping
186,Julia,Dellinger,Shipping
187,Anthony,Cabrio,Shipping
188,Kelly,Chung,Shipping
189,Jennifer,Dilly,Shipping
190,Timothy,Gates,Shipping
191,Randall,Perkins,Shipping
192,Sarah,Bell,Shipping
193,Britney,Everett,Shipping
194,Samuel,McCain,Shipping
195,Vance,Jones,Shipping
196,Alana,Walsh,Shipping
197,Kevin,Feeney,Shipping
198,Donald,OConnell,Shipping
199,Douglas,Grant,Shipping
103,Alexander,Hunold,IT
104,Bruce,Ernst,IT
105,David,Austin,IT
106,Valli,Pataballa,IT
107,Diana,Lorentz,IT
204,Hermann,Baer,Public Relations
145,John,Russell,Sales
146,Karen,Partners,Sales
147,Alberto,Errazuriz,Sales
148,Gerald,Cambrault,Sales
149,Eleni,Zlotkey,Sales
150,Peter,Tucker,Sales
151,David,Bernstein,Sales
152,Peter,Hall,Sales
153,Christopher,Olsen,Sales
154,Nanette,Cambrault,Sales
155,Oliver,Tuvault,Sales
156,Janette,King,Sales
157,Patrick,Sully,Sales
158,Allan,McEwen,Sales
159,Lindsey,Smith,Sales
160,Louise,Doran,Sales
161,Sarath,Sewall,Sales
162,Clara,Vishney,Sales
163,Danielle,Greene,Sales
164,Mattea,Marvins,Sales
165,David,Lee,Sales
166,Sundar,Ande,Sales
167,Amit,Banda,Sales
168,Lisa,Ozer,Sales
169,Harrison,Bloom,Sales
170,Tayler,Fox,Sales
171,William,Smith,Sales
172,Elizabeth,Bates,Sales
173,Sundita,Kumar,Sales
174,Ellen,Abel,Sales
175,Alyssa,Hutton,Sales
176,Jonathon,Taylor,Sales
177,Jack,Livingston,Sales
179,Charles,Johnson,Sales
100,Steven,King,Executive
101,Neena,Kochhar,Executive
102,Lex,De Haan,Executive
108,Nancy,Greenberg,Finance
109,Daniel,Faviet,Finance
110,John,Chen,Finance
111,Ismael,Sciarra,Finance
112,Jose Manuel,Urman,Finance
113,Luis,Popp,Finance
205,Shelley,Higgins,Accounting
206,William,Gietz,Accounting
